StdLocName,SiteID
Wildlife_CAGR_V101_CMPD_G,124
Wildlife_CAGR_V101_003,125
Wildlife_CAGR_V101_001,126
Wildlife_CAGR_V101_002,127
Wildlife_CHIR_V402_007,128
Wildlife_CHIR_V402_010,129
Wildlife_CHIR_V503_011,130
Wildlife_CHIR_V402_011,131
Wildlife_CHIR_V402_017,132
Wildlife_CHIR_V501_001,133
Wildlife_CHIR_V402_006,134
Wildlife_CHIR_V503_007,135
Wildlife_CHIR_V402_004,136
Wildlife_CHIR_V503_008,137
Wildlife_CHIR_V503_009,138
Wildlife_CHIR_V503_004,139
Wildlife_CHIR_V402_005,140
Wildlife_CHIR_V402_015,141
Wildlife_CHIR_V402_013,142
Wildlife_CHIR_V502_001,143
Wildlife_CHIR_V502_016,144
Wildlife_CHIR_V502_021,145
Wildlife_CHIR_V502_012,146
Wildlife_CHIR_V502_017,147
Wildlife_CHIR_V502_002,148
Wildlife_CHIR_V402_002,149
Wildlife_CHIR_V402_001,150
Wildlife_CHIR_V502_014,151
Wildlife_CHIR_V502_020,152
Wildlife_CHIR_V503_006,153
Wildlife_CHIR_V502_019,154
Wildlife_CHIR_V503_002,155
Wildlife_CHIR_V502_009,156
Wildlife_CHIR_V402_003,157
Wildlife_CHIR_V502_024,158
Wildlife_CHIR_V502_013,159
Wildlife_CHIR_Rhyolite_Index1,160
Wildlife_CHIR_Bonita_Index3,161
Wildlife_CHIR_Bonita_Index1,162
Wildlife_CHIR_V502_003,163
Wildlife_CHIR_V502_018,164
Wildlife_CHIR_V502_007,165
Wildlife_CHIR_V501_004,166
Wildlife_CHIR_V501_003,167
Wildlife_CHIR_V501_002,168
Wildlife_TONT_V202_009,169
Wildlife_TONT_V102_004,170
Wildlife_TONT_V102_003,171
Wildlife_TONT_V102_002,172
Wildlife_TONT_V202_015,173
Wildlife_TONT_V202_008,174
Wildlife_MOCC_WBC_XS11_LGL,175
Wildlife_MOCC_V201_006,176
Wildlife_MOCC_V201_009,177
Wildlife_MOCC_V202_002,178
Wildlife_MOCC_V201_008,179
Wildlife_MOCC_V202_009,180
Wildlife_TONT_V202_017,181
Wildlife_TONT_V202_013,182
Wildlife_TONT_V202_006,183
Wildlife_MOCC_WBC_XS06_RGL,184
Wildlife_MOCC_V202_006,185
Wildlife_MOCC_V202_003,186
Wildlife_MOCC_V201_010,187
Wildlife_MOCC_WBC_XS09_R06,188
Wildlife_MOCC_WBC_XS03_RGL,189
Wildlife_MOCC_WBC_XS05_R23,190
Wildlife_MOCC_V202_005,191
Wildlife_MOCC_WBC_XS07_R46,192
Wildlife_MOCC_WBC_XS08_L10,193
Wildlife_MOCC_WBC_XS10_RGL,194
Wildlife_MOCC_WBC_XS04_L47,195
Wildlife_MOWE_WBC_XS08_R33,196
Wildlife_MOWE_WBC_XS07_RGL,197
Wildlife_MOWE_WBC_XS06_R09,198
Wildlife_MOWE_WBC_XS05_LGL,199
Wildlife_MOWE_WBC_XS02_LGL,200
Wildlife_MOWE_WBC_XS03_L28,201
Wildlife_MOWE_WBC_XS04_R13,202
Wildlife_TONT_V202_002,203
Wildlife_TONT_V202_010,204
Wildlife_TONT_V202_014,205
Wildlife_TONT_V202_016,206
Wildlife_TONT_V302_003,207
Wildlife_TONT_V302_001,208
Wildlife_TONT_V302_004,209
Wildlife_TONT_V202_005,210
Wildlife_GICL_V400_002,211
Wildlife_GICL_Gila_XS05_R45,212
Wildlife_GICL_Gila_XS01_LGL,213
Wildlife_GICL_Gila_XS04_LGL,214
Wildlife_GICL_V500_018,215
Wildlife_GICL_V400_005,216
Wildlife_GICL_V500_005,217
Wildlife_GICL_Gila_XS01_L44,218
Wildlife_GICL_Gila_XS02_RGL,219
Wildlife_GICL_V500_001,220
Wildlife_GICL_V500_006,221
Wildlife_GICL_Gila_XS02_R42,222
Wildlife_GICL_Gila_XS03_RGL,223
Wildlife_GICL_Gila_XS03_L27,224
Wildlife_GICL_V400_001,225
Wildlife_GICL_V500_002,226
Wildlife_GICL_Gila_XS04_R37,227
Wildlife_GICL_Gila_XS05_RGL,228
Wildlife_GICL_Gila_XS06_LGL,229
Wildlife_GICL_V400_004,230
Wildlife_GICL_Gila_XS06_L03,231
Wildlife_GICL_Gila_XS07_R56,232
Wildlife_GICL_Gila_XS07_R52,233
Wildlife_GICL_Gila_XS08_LGL,234
Wildlife_GICL_Gila_XS08_L09,235
Wildlife_GICL_Gila_XS09_R54,236
Wildlife_GICL_V500_007,237
Wildlife_GICL_V500_008,238
Wildlife_GICL_V500_004,239
Wildlife_TONT_V302_002,240
Wildlife_TONT_V302_005,241
