Tmean (C)
18.06
17.22
14.72
9.44
9.44
12.5
12.22
13.61
13.61
14.72
14.72
13.06
11.67
12.5
8.06
4.44
2.22
7.22
10.83
10.56
10.56
10.56
10.83
13.33
11.94
9.72
7.78
9.72
9.17
10
10.28
11.39
11.39
6.67
5.56
5.83
5.83
9.17
11.39
12.22
8.06
8.33
8.06
7.78
9.44
8.33
4.44
5.56
8.33
9.72
9.17
5.83
8.33
11.11
11.11
10.83
11.94
10.83
10
3.61
4.17
0
-1.94
0.83
1.39
2.22
-3.89
-0.56
7.22
8.61
6.39
6.67
10
9.44
6.67
5.56
5.83
8.89
8.61
8.89
8.33
8.89
8.06
6.67
11.67
11.39
3.06
3.06
5.83
7.5
7.78
8.61
9.44
9.72
10
9.17
11.39
8.61
8.89
12.22
10.28
2.78
1.39
8.89
8.89
8.33
3.89
6.11
9.17
10.83
10.83
5.28
1.94
2.5
0
0.83
3.61
1.11
0
4.72
8.61
10.56
11.94
11.39
11.94
13.06
12.22
10
14.17
14.44
16.11
8.61
5.28
8.33
13.33
7.22
5
3.61
8.33
5
9.17
12.22
14.44
14.44
11.67
8.06
10.56
11.39
15.28
19.17
17.78
15.83
13.06
12.97
12.47
13.61
14.44
13.33
13.89
12.22
11.39
14.72
18.33
19.17
12.78
7.22
7.22
8.61
13.61
16.94
14.17
9.72
14.17
19.17
19.17
19.17
15.28
13.61
14.44
19.44
21.39
20
18.61
16.94
15
15.83
15.56
17.78
18.89
18.89
17.22
15.83
12.78
14.44
15.56
15.56
12.22
15
19.17
21.39
20
16.11
12.78
14.44
11.67
11.94
18.33
14.72
16.11
18.33
19.17
15.83
13.89
16.39
18.33
21.39
22.22
21.67
22.5
20.56
21.11
22.22
22.5
21.94
24.17
21.11
21.39
26.67
26.67
24.44
21.67
23.06
23.06
23.06
21.67
23.06
22.5
21.39
21.67
23.61
24.72
25
26.11
29.72
28.06
28.61
27.22
25.28
24.44
24.44
23.61
22.78
22.5
23.89
25
27.5
27.78
27.78
26.67
26.94
26.11
28.33
25.28
24.72
25
25.83
26.11
26.11
25
23.89
24.72
26.39
28.61
26.39
25
23.33
20.83
23.33
25
26.11
26.39
26.11
24.44
25.28
25.83
23.33
21.39
21.94
23.89
25.56
26.94
25.83
25.83
26.11
26.11
26.67
28.33
27.5
25
23.89
21.94
24.44
25.83
26.94
24.44
24.17
25
26.11
25.56
26.39
25.56
24.72
24.17
26.67
24.17
21.67
21.94
21.94
21.94
22.78
23.61
18.06
20
21.11
21.67
23.06
22.5
21.67
20.56
20.28
21.11
15
17.22
17.78
17.78
18.33
20
21.11
17.78
18.89
19.17
20.56
20.56
20.28
20
20.83
18.06
17.5
15.28
18.33
18.06
17.22
18.61
17.22
18.33
14.72
14.72
14.44
15
16.39
17.5
15.56
10.83
13.33
14.72
12.78
11.94
7.78
10
13.33
13.89
15.28
16.67
17.22
16.67
14.17
14.17
16.94
16.39
15.83
7.5
9.72
14.44
14.44
14.72
14.72
15.56
14.17
11.94
6.94
7.22
9.17
11.11
10.28
5.83
6.11
8.06
6.11
4.72
8.89
10.56
12.22
13.33
11.11
12.5
13.61
10.28
7.78
6.39
8.61
8.61
11.39
10.83
8.89
3.61
1.67
3.33
5
6.39
9.17
9.44
7.78
6.67
5.83
7.5
3.89
-0.28
-1.94
3.06
6.11
